"","Proj1","Proj2"
"1",32728,33026
"2",12878,13813
"3",12048,12048
"4",4819,4819
"5",4217,4217
"6",0.57,0.57
"7",0.41,0.41
"8",0.41,0.41
"9",7458,9001
"10",5671,6872
"11",5671,6872
