
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
12.0481 4.81922 4.21682 23.5922 18.5843 11.5686 
CV Recruit
0.519108 
Alternative 1 Alternative  Stock: Rex
Catch Rex
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2029  0 2.02344 2.21233 1.53098 2.25259 2.27633 3.07763 0.475201 
2030  0 2.02344 2.21233 1.33911 2.08119 2.09731 2.94132 0.486381 
2031  0 2.02344 2.21233 1.26259 1.97199 1.99761 2.86519 0.477717 
2032  0 2.02344 2.21233 1.24446 1.90257 1.94911 2.76256 0.467499 
2033  0 2.02344 2.21233 1.25732 1.87912 1.92573 2.7358 0.46029 
2034  0 2.02344 2.21233 1.23699 1.88664 1.9192 2.7596 0.465836 

Spawning_Biomass Rex
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2021 12.0481 4.81922 4.21682 11.5686 11.5686 11.5686 11.5686 2.82441e-13 
2022 12.0481 4.81922 4.21682 12.8621 12.875 12.878 12.9041 0.0140141 
2023 12.0481 4.81922 4.21682 13.7363 13.8017 13.8128 13.9283 0.065124 
2024 12.0481 4.81922 4.21682 13.9781 14.193 14.2295 14.5832 0.206951 
2025 12.0481 4.81922 4.21682 9.97311 10.4738 10.5458 11.3448 0.458305 
2026 12.0481 4.81922 4.21682 7.24282 8.09311 8.19069 9.52592 0.739318 
2027 12.0481 4.81922 4.21682 5.60861 6.67565 6.80284 8.3678 0.918898 
2028 12.0481 4.81922 4.21682 4.64658 5.8553 5.98705 7.73554 0.968272 
2029 12.0481 4.81922 4.21682 4.15126 5.38255 5.50751 7.23358 0.967124 
2030 12.0481 4.81922 4.21682 3.88237 5.13715 5.23571 6.94911 0.945406 
2031 12.0481 4.81922 4.21682 3.83335 4.96183 5.09156 6.76498 0.919148 
2032 12.0481 4.81922 4.21682 3.81133 4.8504 5.02256 6.60132 0.901228 
2033 12.0481 4.81922 4.21682 3.81652 4.82195 4.99 6.66611 0.897337 
2034 12.0481 4.81922 4.21682 3.75087 4.81842 4.96843 6.65465 0.890945 

Fishing_mortalityRex
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2021  0 0.409759 0.573207 0.000133444 0.000133444 0.000133444 0.000133444 1.43657e-18 
2022  0 0.409759 0.573207 0.000116523 0.000116527 0.000116527 0.00011653 2.30112e-09 
2023  0 0.409759 0.573207 9.51176e-05 9.51576e-05 9.5154e-05 9.51764e-05 1.96456e-08 
2024  0 0.409759 0.573207 0.409759 0.409759 0.409759 0.409759 7.54952e-15 
2025  0 0.409759 0.573207 0.409759 0.409759 0.409759 0.409759 7.54952e-15 
2026  0 0.409759 0.573207 0.409759 0.409759 0.409759 0.409759 7.54952e-15 
2027  0 0.409759 0.573207 0.409759 0.409759 0.409759 0.409759 7.54952e-15 
2028  0 0.409759 0.573207 0.394306 0.409759 0.407752 0.409759 0.00842361 
2029  0 0.409759 0.573207 0.349975 0.409759 0.400127 0.409759 0.0216804 
2030  0 0.409759 0.573207 0.325909 0.409759 0.39332 0.409759 0.0288255 
2031  0 0.409759 0.573207 0.321522 0.409759 0.389305 0.409759 0.0310879 
2032  0 0.409759 0.573207 0.319551 0.409759 0.387304 0.409759 0.0316909 
2033  0 0.409759 0.573207 0.320016 0.409759 0.386188 0.409759 0.0326007 
2034  0 0.409759 0.573207 0.31414 0.409687 0.385664 0.409759 0.0336781 

Total_BiomassRex
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2021 56.7491 15.3077 14.1923 31.9747 31.9747 31.9747 31.9747 2.16716e-13 
2022 56.7491 15.3077 14.1923 31.8898 32.5716 32.728 34.1044 0.739034 
2023 56.7491 15.3077 14.1923 31.4042 32.8017 33.0256 35.2933 1.31597 
2024 56.7491 15.3077 14.1923 30.5877 32.7464 33.0139 36.2441 1.83061 
2025 56.7491 15.3077 14.1923 22.8105 25.5339 25.7837 29.7973 2.24966 
2026 56.7491 15.3077 14.1923 17.6752 20.9479 21.2786 25.7899 2.57487 
2027 56.7491 15.3077 14.1923 14.6529 18.3278 18.6332 23.4507 2.73624 
2028 56.7491 15.3077 14.1923 13.0106 16.8555 17.0831 21.9101 2.77405 
2029 56.7491 15.3077 14.1923 12.1302 15.8889 16.1792 20.8922 2.74846 
2030 56.7491 15.3077 14.1923 11.8004 15.4383 15.711 20.4426 2.71799 
2031 56.7491 15.3077 14.1923 11.6565 15.0242 15.4462 20.4 2.70886 
2032 56.7491 15.3077 14.1923 11.4214 14.9909 15.3013 20.27 2.66056 
2033 56.7491 15.3077 14.1923 11.3681 14.8971 15.1716 19.9671 2.63211 
2034 56.7491 15.3077 14.1923 11.27 14.7882 15.0927 19.6698 2.60626 
Alternative 3 Alternative  Stock: Rex
Catch Rex
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2021  0 2.02344 2.21233 0.0019 0.0019 0.0019 0.0019 3.01408e-17 
2022  0 2.02344 2.21233 0.0019 0.0019 0.0019 0.0019 4.40635e-13 
2023  0 2.02344 2.21233 0.0019 0.0019 0.0019 0.0019 5.29198e-12 
2024  0 2.02344 2.21233 0 0 0 0 0 
2025  0 2.02344 2.21233 0 0 0 0 0 
2026  0 2.02344 2.21233 0 0 0 0 0 
2027  0 2.02344 2.21233 0 0 0 0 0 
2028  0 2.02344 2.21233 0 0 0 0 0 
2029  0 2.02344 2.21233 0 0 0 0 0 
2030  0 2.02344 2.21233 0 0 0 0 0 
2031  0 2.02344 2.21233 0 0 0 0 0 
2032  0 2.02344 2.21233 0 0 0 0 0 
2033  0 2.02344 2.21233 0 0 0 0 0 
2034  0 2.02344 2.21233 0 0 0 0 0 

Spawning_Biomass Rex
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2021 12.0481 4.81922 4.21682 11.5686 11.5686 11.5686 11.5686 2.82441e-13 
2022 12.0481 4.81922 4.21682 12.8621 12.875 12.878 12.9041 0.0140141 
2023 12.0481 4.81922 4.21682 13.7363 13.8017 13.8128 13.9283 0.065124 
2024 12.0481 4.81922 4.21682 13.9781 14.193 14.2295 14.5832 0.206951 
2025 12.0481 4.81922 4.21682 13.719 14.2197 14.2916 15.0907 0.45832 
2026 12.0481 4.81922 4.21682 13.2317 14.0857 14.1834 15.5182 0.742232 
2027 12.0481 4.81922 4.21682 12.7359 13.8824 14.0084 15.7265 0.978813 
2028 12.0481 4.81922 4.21682 12.2365 13.6673 13.8067 15.8698 1.15145 
2029 12.0481 4.81922 4.21682 11.7535 13.4438 13.5991 15.8517 1.27358 
2030 12.0481 4.81922 4.21682 11.3839 13.2641 13.4002 15.7703 1.35812 
2031 12.0481 4.81922 4.21682 11.1542 13.1116 13.2199 15.7307 1.41459 
2032 12.0481 4.81922 4.21682 10.9491 12.9173 13.0625 15.6066 1.45252 
2033 12.0481 4.81922 4.21682 10.7874 12.7686 12.9257 15.5574 1.48291 
2034 12.0481 4.81922 4.21682 10.5483 12.6441 12.8005 15.5173 1.50413 

Fishing_mortalityRex
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2021  0 0.409759 0.573207 0.000133444 0.000133444 0.000133444 0.000133444 1.43657e-18 
2022  0 0.409759 0.573207 0.000116523 0.000116527 0.000116527 0.00011653 2.30112e-09 
2023  0 0.409759 0.573207 9.51176e-05 9.51576e-05 9.5154e-05 9.51764e-05 1.96456e-08 
2024  0 0.409759 0.573207 0 0 0 0 0 
2025  0 0.409759 0.573207 0 0 0 0 0 
2026  0 0.409759 0.573207 0 0 0 0 0 
2027  0 0.409759 0.573207 0 0 0 0 0 
2028  0 0.409759 0.573207 0 0 0 0 0 
2029  0 0.409759 0.573207 0 0 0 0 0 
2030  0 0.409759 0.573207 0 0 0 0 0 
2031  0 0.409759 0.573207 0 0 0 0 0 
2032  0 0.409759 0.573207 0 0 0 0 0 
2033  0 0.409759 0.573207 0 0 0 0 0 
2034  0 0.409759 0.573207 0 0 0 0 0 

Total_BiomassRex
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2021 56.7491 15.3077 14.1923 31.9747 31.9747 31.9747 31.9747 2.16716e-13 
2022 56.7491 15.3077 14.1923 31.8898 32.5716 32.728 34.1044 0.739034 
2023 56.7491 15.3077 14.1923 31.4042 32.8017 33.0256 35.2933 1.31597 
2024 56.7491 15.3077 14.1923 30.5877 32.7464 33.0139 36.2441 1.83061 
2025 56.7491 15.3077 14.1923 29.8017 32.5391 32.7889 36.8116 2.25891 
2026 56.7491 15.3077 14.1923 28.7404 32.065 32.4253 37.0386 2.61807 
2027 56.7491 15.3077 14.1923 27.8136 31.6809 32.0154 37.1702 2.88274 
2028 56.7491 15.3077 14.1923 27.1132 31.3061 31.5968 37.0629 3.08819 
2029 56.7491 15.3077 14.1923 26.4451 30.9217 31.194 36.8566 3.21756 
2030 56.7491 15.3077 14.1923 26.1129 30.5473 30.8585 36.7477 3.31698 
2031 56.7491 15.3077 14.1923 25.6409 30.1177 30.5262 36.6101 3.41799 
2032 56.7491 15.3077 14.1923 25.1002 29.9021 30.2212 36.3046 3.45149 
2033 56.7491 15.3077 14.1923 24.7415 29.605 29.9038 36.0966 3.47079 
2034 56.7491 15.3077 14.1923 24.3339 29.4096 29.64 35.694 3.4787 
Alternative 4 Alternative  Stock: Rex
Catch Rex
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2021  0 2.02344 2.21233 0.0019 0.0019 0.0019 0.0019 3.01408e-17 
2022  0 2.02344 2.21233 0.0019 0.0019 0.0019 0.0019 4.40635e-13 
2023  0 2.02344 2.21233 0.0019 0.0019 0.0019 0.0019 5.29198e-12 
2024  0 2.02344 2.21233 1.42622 1.42813 1.42849 1.43201 0.00196863 
2025  0 2.02344 2.21233 1.35158 1.36054 1.36212 1.37812 0.0089753 
2026  0 2.02344 2.21233 1.22384 1.26209 1.26876 1.33552 0.0377949 
2027  0 2.02344 2.21233 1.08751 1.1771 1.19084 1.33553 0.0834322 
2028  0 2.02344 2.21233 0.988006 1.10831 1.12651 1.31216 0.106973 
2029  0 2.02344 2.21233 0.916648 1.05563 1.07308 1.28081 0.117637 
2030  0 2.02344 2.21233 0.849894 1.01158 1.02758 1.24939 0.124455 
2031  0 2.02344 2.21233 0.803343 0.974202 0.989727 1.21609 0.128342 
2032  0 2.02344 2.21233 0.765252 0.944835 0.959897 1.1887 0.130327 
2033  0 2.02344 2.21233 0.74972 0.919854 0.936293 1.16838 0.130654 
2034  0 2.02344 2.21233 0.730506 0.89988 0.918357 1.15472 0.131716 

Spawning_Biomass Rex
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2021 12.0481 4.81922 4.21682 11.5686 11.5686 11.5686 11.5686 2.82441e-13 
2022 12.0481 4.81922 4.21682 12.8621 12.875 12.878 12.9041 0.0140141 
2023 12.0481 4.81922 4.21682 13.7363 13.8017 13.8128 13.9283 0.065124 
2024 12.0481 4.81922 4.21682 13.9781 14.193 14.2295 14.5832 0.206951 
2025 12.0481 4.81922 4.21682 12.9909 13.4916 13.5636 14.3627 0.458317 
2026 12.0481 4.81922 4.21682 11.8921 12.7451 12.8431 14.178 0.741747 
2027 12.0481 4.81922 4.21682 10.9282 12.0566 12.1876 13.8831 0.967931 
2028 12.0481 4.81922 4.21682 10.0983 11.4769 11.6157 13.5768 1.1117 
2029 12.0481 4.81922 4.21682 9.37625 10.9869 11.1275 13.1815 1.19947 
2030 12.0481 4.81922 4.21682 8.84517 10.6058 10.7195 12.855 1.25232 
2031 12.0481 4.81922 4.21682 8.49405 10.276 10.3869 12.6404 1.28131 
2032 12.0481 4.81922 4.21682 8.27595 9.96191 10.1218 12.4475 1.29711 
2033 12.0481 4.81922 4.21682 7.97599 9.73454 9.91048 12.2459 1.31085 
2034 12.0481 4.81922 4.21682 7.79946 9.58079 9.73522 12.1424 1.31896 

Fishing_mortalityRex
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2021  0 0.409759 0.573207 0.000133444 0.000133444 0.000133444 0.000133444 1.43657e-18 
2022  0 0.409759 0.573207 0.000116523 0.000116527 0.000116527 0.00011653 2.30112e-09 
2023  0 0.409759 0.573207 9.51176e-05 9.51576e-05 9.5154e-05 9.51764e-05 1.96456e-08 
2024  0 0.409759 0.573207 0.0679921 0.0679921 0.0679921 0.0679921 2.35922e-16 
2025  0 0.409759 0.573207 0.0679921 0.0679921 0.0679921 0.0679921 2.35922e-16 
2026  0 0.409759 0.573207 0.0679921 0.0679921 0.0679921 0.0679921 2.35922e-16 
2027  0 0.409759 0.573207 0.0679921 0.0679921 0.0679921 0.0679921 2.35922e-16 
2028  0 0.409759 0.573207 0.0679921 0.0679921 0.0679921 0.0679921 2.35922e-16 
2029  0 0.409759 0.573207 0.0679921 0.0679921 0.0679921 0.0679921 2.35922e-16 
2030  0 0.409759 0.573207 0.0679921 0.0679921 0.0679921 0.0679921 2.35922e-16 
2031  0 0.409759 0.573207 0.0679921 0.0679921 0.0679921 0.0679921 2.35922e-16 
2032  0 0.409759 0.573207 0.0679921 0.0679921 0.0679921 0.0679921 2.35922e-16 
2033  0 0.409759 0.573207 0.0679921 0.0679921 0.0679921 0.0679921 2.35922e-16 
2034  0 0.409759 0.573207 0.0679921 0.0679921 0.0679921 0.0679921 2.35922e-16 

Total_BiomassRex
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2021 56.7491 15.3077 14.1923 31.9747 31.9747 31.9747 31.9747 2.16716e-13 
2022 56.7491 15.3077 14.1923 31.8898 32.5716 32.728 34.1044 0.739034 
2023 56.7491 15.3077 14.1923 31.4042 32.8017 33.0256 35.2933 1.31597 
2024 56.7491 15.3077 14.1923 30.5877 32.7464 33.0139 36.2441 1.83061 
2025 56.7491 15.3077 14.1923 28.4484 31.1842 31.433 35.4525 2.25736 
2026 56.7491 15.3077 14.1923 26.2772 29.5964 29.948 34.544 2.61059 
2027 56.7491 15.3077 14.1923 24.4913 28.3219 28.6602 33.7487 2.85504 
2028 56.7491 15.3077 14.1923 23.1043 27.3022 27.5665 32.8004 3.01882 
2029 56.7491 15.3077 14.1923 22.0568 26.3807 26.6523 31.9291 3.10116 
2030 56.7491 15.3077 14.1923 21.445 25.6347 25.9358 31.4949 3.15855 
2031 56.7491 15.3077 14.1923 20.6056 24.8918 25.3262 31.0815 3.22216 
2032 56.7491 15.3077 14.1923 20.027 24.4802 24.8241 30.6783 3.22395 
2033 56.7491 15.3077 14.1923 19.5538 24.125 24.3696 30.1655 3.22059 
2034 56.7491 15.3077 14.1923 19.1186 23.692 24.013 29.5786 3.21251 
Alternative 5 Alternative  Stock: Rex
Catch Rex
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2021  0 2.02344 2.21233 0.0019 0.0019 0.0019 0.0019 3.01408e-17 
2022  0 2.02344 2.21233 0.0019 0.0019 0.0019 0.0019 4.40635e-13 
2023  0 2.02344 2.21233 0.0019 0.0019 0.0019 0.0019 5.29198e-12 
2024  0 2.02344 2.21233 0 0 0 0 0 
2025  0 2.02344 2.21233 0 0 0 0 0 
2026  0 2.02344 2.21233 0 0 0 0 0 
2027  0 2.02344 2.21233 0 0 0 0 0 
2028  0 2.02344 2.21233 0 0 0 0 0 
2029  0 2.02344 2.21233 0 0 0 0 0 
2030  0 2.02344 2.21233 0 0 0 0 0 
2031  0 2.02344 2.21233 0 0 0 0 0 
2032  0 2.02344 2.21233 0 0 0 0 0 
2033  0 2.02344 2.21233 0 0 0 0 0 
2034  0 2.02344 2.21233 0 0 0 0 0 

Spawning_Biomass Rex
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2021 12.0481 4.81922 4.21682 11.5686 11.5686 11.5686 11.5686 2.82441e-13 
2022 12.0481 4.81922 4.21682 12.8621 12.875 12.878 12.9041 0.0140141 
