"","Proj1","Proj2"
"1",114540,117937
"2",46550,51749
"3",52558,52558
"4",21023,21023
"5",18395,18395
"6",0.27,0.27
"7",0.22,0.22
"8",0.22,0.22
"9",19553,21552
"10",16105,17761
"11",16105,17761
