"","Proj1","Proj2"
"1",99428,101591
"2",41906,46224
"3",46768,46768
"4",18707,18707
"5",16369,16369
"6",0.28,0.28
"7",0.23,0.23
"8",0.23,0.23
"9",18314,19779
"10",15057,16276
"11",15057,16276
