Stock Year Catch ABC OFL SSB TotBiom
Rex 2022 1.567 15.0575 18.3141 41.9062 99.4279
Rex 2023 1.567 16.2756 19.779 46.2237 101.591
Rex 2024 16.6194 16.6194 20.1904 48.5015 102.288
Rex 2025 13.7803 13.7803 16.7435 41.109 87.3685
Rex 2026 11.6021 11.6021 14.1004 34.9561 76.008
Rex 2027 10.0196 10.0196 12.1801 30.2717 67.6727
Rex 2028 8.88212 8.88212 10.7997 26.8322 61.6798
Rex 2029 8.06773 8.06773 9.81158 24.3498 57.4408
Rex 2030 7.47381 7.47381 9.0917 22.5965 54.58
Rex 2031 7.04648 7.04648 8.57438 21.4014 52.5897
Rex 2032 6.75834 6.75834 8.22593 20.6183 51.2425
Rex 2033 6.56447 6.56447 7.99145 20.115 50.2138
Rex 2034 6.42537 6.42537 7.82301 19.7702 49.5222
