
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
71.0291 28.4159 25.534 74.3488 61.621 56.744 
CV Recruit
0.454477 
Alternative 1 Alternative  Stock: Rex
Catch Rex
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2032  0 1.78706 5.15419 1.31656 1.7724 1.66371 1.78706 0.16305 
2033  0 1.78706 5.15419 1.32891 1.75823 1.6634 1.78706 0.16088 
2034  0 1.78706 5.15419 1.32913 1.75985 1.66267 1.78706 0.162722 

Total_BiomassRex
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2021 293.259 78.355 73.541 146.753 146.753 146.753 146.753 1.13687e-12 
2022 293.259 78.355 73.541 151.478 154.235 154.77 159.77 2.74026 
2023 293.259 78.355 73.541 152.566 158.271 158.977 167.653 5.08663 
2024 293.259 78.355 73.541 151.279 160.06 161.001 173.386 7.25237 
2025 293.259 78.355 73.541 108.161 119.397 120.444 136.106 9.17064 
2026 293.259 78.355 73.541 86.376 100.308 101.583 120.438 10.8331 
2027 293.259 78.355 73.541 73.1164 89.6833 90.8967 112.152 12.0894 
2028 293.259 78.355 73.541 64.2461 82.3297 83.4231 106.809 13.0729 
2029 293.259 78.355 73.541 61.2618 79.6298 80.7147 103.921 13.0473 
2030 293.259 78.355 73.541 61.5174 79.3285 80.3856 102.961 12.8303 
2031 293.259 78.355 73.541 61.8079 78.4057 80.1893 103.389 12.9546 
2032 293.259 78.355 73.541 61.5639 78.3337 79.9802 102.637 12.9316 
2033 293.259 78.355 73.541 61.1069 78.0011 79.6921 102.441 12.848 
2034 293.259 78.355 73.541 60.5242 78.1399 79.5695 102.801 12.824 
Alternative 3 Alternative  Stock: Rex
Catch Rex
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2021  0 9.13035 8.93026 0.392 0.392 0.392 0.392 4.82947e-15 
2022  0 9.13035 8.93026 1.567 1.567 1.567 1.567 1.26565e-14 
2023  0 9.13035 8.93026 1.567 1.567 1.567 1.567 1.26565e-14 
2024  0 9.13035 8.93026 1.20059 1.20059 1.20059 1.20059 1.53211e-14 
2025  0 9.13035 8.93026 1.61571 1.61571 1.61571 1.61571 1.39888e-14 
2026  0 9.13035 8.93026 1.81132 1.81132 1.81132 1.81132 2.59792e-14 
2027  0 9.13035 8.93026 1.95937 1.95937 1.95937 1.95937 3.33067e-14 
2028  0 9.13035 8.93026 1.93639 1.96457 1.97004 2.02116 0.0280128 
2029  0 9.13035 8.93026 1.77204 1.89872 1.91545 2.11831 0.116286 
2030  0 9.13035 8.93026 1.66456 1.83917 1.86569 2.13033 0.154819 
2031  0 9.13035 8.93026 1.5878 1.8046 1.82118 2.11955 0.170766 
2032  0 9.13035 8.93026 1.51758 1.7611 1.78038 2.10742 0.184246 
2033  0 9.13035 8.93026 1.45939 1.71826 1.7415 2.08138 0.191191 
2034  0 9.13035 8.93026 1.41573 1.69086 1.70965 2.05255 0.194584 

Spawning_Biomass Rex
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2021 71.0291 28.4159 25.534 56.744 56.744 56.744 56.744 1.13687e-12 
2022 71.0291 28.4159 25.534 64.1798 64.2342 64.2447 64.3433 0.054025 
2023 71.0291 28.4159 25.534 70.2317 70.514 70.5547 71.0186 0.263093 
2024 71.0291 28.4159 25.534 73.9245 74.8949 75.0299 76.5463 0.875077 
2025 71.0291 28.4159 25.534 74.9051 77.2433 77.5258 80.9823 2.02076 
2026 71.0291 28.4159 25.534 73.6341 77.666 78.0768 83.8739 3.38318 
2027 71.0291 28.4159 25.534 71.5206 76.9977 77.5564 85.3011 4.57205 
2028 71.0291 28.4159 25.534 68.9002 75.8297 76.4757 85.9423 5.48163 
2029 71.0291 28.4159 25.534 66.2027 74.5868 75.1841 86.1645 6.14339 
2030 71.0291 28.4159 25.534 64.081 73.2404 73.8753 85.3204 6.58345 
2031 71.0291 28.4159 25.534 62.3917 72.0678 72.639 84.725 6.8651 
2032 71.0291 28.4159 25.534 60.9865 70.7103 71.5254 84.5797 7.05512 
2033 71.0291 28.4159 25.534 60.126 69.7586 70.5476 83.5756 7.20945 
2034 71.0291 28.4159 25.534 58.9345 68.954 69.6772 82.7824 7.32816 

Fishing_mortalityRex
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2021  0 1.78706 5.15419 0.00785372 0.00785372 0.00785372 0.00785372 1.38778e-17 
2022  0 1.78706 5.15419 0.0336452 0.0336452 0.0336452 0.0336452 5.34295e-16 
2023  0 1.78706 5.15419 0.0359037 0.0359037 0.0359037 0.0359037 2.70617e-16 
2024  0 1.78706 5.15419 0.0245556 0.0245556 0.0245556 0.0245556 5.68989e-16 
2025  0 1.78706 5.15419 0.0245556 0.0245556 0.0245556 0.0245556 5.68989e-16 
2026  0 1.78706 5.15419 0.0245556 0.0245556 0.0245556 0.0245556 5.68989e-16 
2027  0 1.78706 5.15419 0.0245556 0.0245556 0.0245556 0.0245556 5.68989e-16 
2028  0 1.78706 5.15419 0.0245556 0.0245556 0.0245556 0.0245556 5.68989e-16 
2029  0 1.78706 5.15419 0.0245556 0.0245556 0.0245556 0.0245556 5.68989e-16 
2030  0 1.78706 5.15419 0.0245556 0.0245556 0.0245556 0.0245556 5.68989e-16 
2031  0 1.78706 5.15419 0.0245556 0.0245556 0.0245556 0.0245556 5.68989e-16 
2032  0 1.78706 5.15419 0.0245556 0.0245556 0.0245556 0.0245556 5.68989e-16 
2033  0 1.78706 5.15419 0.0245556 0.0245556 0.0245556 0.0245556 5.68989e-16 
2034  0 1.78706 5.15419 0.0245556 0.0245556 0.0245556 0.0245556 5.68989e-16 

Total_BiomassRex
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2021 293.259 78.355 73.541 146.753 146.753 146.753 146.753 1.13687e-12 
2022 293.259 78.355 73.541 151.478 154.235 154.77 159.77 2.74026 
2023 293.259 78.355 73.541 152.566 158.271 158.977 167.653 5.08663 
2024 293.259 78.355 73.541 151.279 160.06 161.001 173.386 7.25237 
2025 293.259 78.355 73.541 149.428 160.665 161.711 177.374 9.17064 
2026 293.259 78.355 73.541 145.51 159.442 160.718 179.572 10.8331 
2027 293.259 78.355 73.541 141.073 157.64 158.854 180.109 12.0894 
2028 293.259 78.355 73.541 137.142 155.408 156.491 179.887 13.0875 
2029 293.259 78.355 73.541 133.125 152.97 154.048 178.895 13.7602 
2030 293.259 78.355 73.541 131.082 150.57 151.845 177.968 14.2515 
2031 293.259 78.355 73.541 128.984 147.911 149.733 176.305 14.7114 
2032 293.259 78.355 73.541 125.716 146.345 147.808 173.828 14.9295 
2033 293.259 78.355 73.541 123.7 144.74 145.941 171.616 15.0381 
2034 293.259 78.355 73.541 121.917 143.249 144.378 170.512 15.1275 
Alternative 4 Alternative  Stock: Rex
Catch Rex
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2021  0 9.13035 8.93026 0.392 0.392 0.392 0.392 4.82947e-15 
2022  0 9.13035 8.93026 1.567 1.567 1.567 1.567 1.26565e-14 
2023  0 9.13035 8.93026 1.567 1.567 1.567 1.567 1.26565e-14 
2024  0 9.13035 8.93026 4.61253 4.61253 4.61253 4.61253 4.17444e-14 
2025  0 9.13035 8.93026 5.92053 5.92053 5.92053 5.92053 7.4607e-14 
2026  0 9.13035 8.93026 6.35691 6.35691 6.35691 6.35691 8.70415e-14 
2027  0 9.13035 8.93026 6.62983 6.62983 6.62983 6.62983 1.09246e-13 
2028  0 9.13035 8.93026 6.27619 6.38696 6.40844 6.60937 0.110099 
2029  0 9.13035 8.93026 5.45205 5.933 5.99606 6.75709 0.439331 
2030  0 9.13035 8.93026 4.92263 5.56874 5.66239 6.63893 0.56677 
2031  0 9.13035 8.93026 4.56094 5.32975 5.39477 6.47303 0.606646 
2032  0 9.13035 8.93026 4.26255 5.10092 5.17557 6.31698 0.642175 
2033  0 9.13035 8.93026 4.03597 4.90632 4.98906 6.16605 0.653568 
2034  0 9.13035 8.93026 3.84221 4.78956 4.84787 5.99124 0.656304 

Spawning_Biomass Rex
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2021 71.0291 28.4159 25.534 56.744 56.744 56.744 56.744 1.13687e-12 
2022 71.0291 28.4159 25.534 64.1798 64.2342 64.2447 64.3433 0.054025 
2023 71.0291 28.4159 25.534 70.2317 70.514 70.5547 71.0186 0.263093 
