"","Proj1","Proj2"
"1",154770,158977
"2",64245,70555
"3",71029,71029
"4",28416,28416
"5",25534,25534
"6",5.15,5.15
"7",1.79,1.79
"8",1.79,1.79
"9",51431,50203
"10",40928,38991
"11",40928,38991
