"","Proj1","Proj2"
"1",25115,25333
"2",9807,10553
"3",8998,8998
"4",3599,3599
"5",3149,3149
"6",0.31,0.31
"7",0.25,0.25
"8",0.25,0.25
"9",4988,5270
"10",4084,4318
"11",4084,4318
