
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
58.5604 23.4242 20.4962 53.5802 42.2067 46.2803 
CV Recruit
0.519108 
Alternative 1 Alternative  Stock: Rex
Catch Rex
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2021  0 8.44107 9.15256 0.392 0.392 0.392 0.392 5.27356e-15 
2022  0 8.44107 9.15256 1.567 1.567 1.567 1.567 1.20161e-10 
2023  0 8.44107 9.15256 1.567 1.567 1.567 1.567 6.79602e-09 
2024  0 8.44107 9.15256 25.9746 26.0109 26.018 26.0856 0.0375371 
2025  0 8.44107 9.15256 19.724 19.8967 19.9268 20.2355 0.172927 
2026  0 8.44107 9.15256 14.4918 15.2505 15.383 16.714 0.751409 
2027  0 8.44107 9.15256 10.713 12.349 12.5886 15.1473 1.49945 
2028  0 8.44107 9.15256 8.58556 10.6396 10.8639 13.9531 1.75813 
2029  0 8.44107 9.15256 6.70621 9.57674 9.72069 12.9543 1.90451 
2030  0 8.44107 9.15256 5.84912 8.93206 8.9778 12.3051 1.98202 
2031  0 8.44107 9.15256 5.44331 8.49425 8.53357 12.0708 1.96759 
2032  0 8.44107 9.15256 5.32455 8.18893 8.29622 11.6814 1.93361 
2033  0 8.44107 9.15256 5.38064 7.98116 8.17089 11.4678 1.89973 
2034  0 8.44107 9.15256 5.30595 7.98686 8.1249 11.5575 1.91858 

Spawning_Biomass Rex
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2021 58.5604 23.4242 20.4962 46.2803 46.2803 46.2803 46.2803 2.27374e-13 
2022 58.5604 23.4242 20.4962 53.363 53.4064 53.4163 53.504 0.0470492 
2023 58.5604 23.4242 20.4962 58.097 58.3408 58.3848 58.8251 0.246614 
2024 58.5604 23.4242 20.4962 59.9297 60.8036 60.9515 62.411 0.844598 
2025 58.5604 23.4242 20.4962 45.5609 47.6715 48.0027 51.3839 1.96518 
2026 58.5604 23.4242 20.4962 34.7272 38.4876 38.9154 44.6974 3.27802 
2027 58.5604 23.4242 20.4962 27.747 32.5123 33.1282 40.312 4.1854 
2028 58.5604 23.4242 20.4962 23.3378 28.7887 29.4798 37.7098 4.49296 
2029 58.5604 23.4242 20.4962 20.6935 26.5365 27.1839 35.0474 4.54586 
2030 58.5604 23.4242 20.4962 19.3483 25.2894 25.7868 33.8958 4.47828 
2031 58.5604 23.4242 20.4962 19.0302 24.3526 24.9884 32.7627 4.36055 
2032 58.5604 23.4242 20.4962 18.8676 23.8656 24.5678 32.0899 4.26706 
2033 58.5604 23.4242 20.4962 18.797 23.4941 24.3527 32.2535 4.23704 
2034 58.5604 23.4242 20.4962 18.473 23.5396 24.2183 32.1115 4.2087 

Fishing_mortalityRex
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2021  0 0.358161 0.48695 0.00782077 0.00782077 0.00782077 0.00782077 1.43982e-16 
2022  0 0.358161 0.48695 0.0261531 0.0261541 0.026154 0.0261545 4.55936e-07 
2023  0 0.358161 0.48695 0.0204943 0.0205022 0.0205015 0.0205059 3.88282e-06 
2024  0 0.358161 0.48695 0.358161 0.358161 0.358161 0.358161 4.60743e-15 
2025  0 0.358161 0.48695 0.358161 0.358161 0.358161 0.358161 4.60743e-15 
2026  0 0.358161 0.48695 0.358161 0.358161 0.358161 0.358161 4.60743e-15 
2027  0 0.358161 0.48695 0.358161 0.358161 0.358161 0.358161 4.60743e-15 
2028  0 0.358161 0.48695 0.356771 0.358161 0.357303 0.358161 0.00486412 
2029  0 0.358161 0.48695 0.314211 0.358161 0.351994 0.358161 0.0157214 
2030  0 0.358161 0.48695 0.29256 0.358161 0.346282 0.358161 0.0226185 
2031  0 0.358161 0.48695 0.287441 0.358161 0.342524 0.358161 0.0252813 
2032  0 0.358161 0.48695 0.284823 0.358161 0.34033 0.358161 0.0261272 
2033  0 0.358161 0.48695 0.283687 0.358161 0.33904 0.358161 0.0269464 
2034  0 0.358161 0.48695 0.278473 0.358161 0.338353 0.358161 0.0279315 

Total_BiomassRex
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2021 242.174 63.8815 58.9802 118.749 118.749 118.749 118.749 2.17426e-12 
2022 242.174 63.8815 58.9802 121.981 124.21 124.722 129.222 2.41644 
2023 242.174 63.8815 58.9802 121.63 126.455 127.277 134.946 4.62367 
2024 242.174 63.8815 58.9802 119.3 127.188 128.214 139.97 6.78037 
2025 242.174 63.8815 58.9802 93.2928 103.631 104.673 119.775 8.64264 
2026 242.174 63.8815 58.9802 74.7403 87.481 88.8058 106.837 10.1484 
2027 242.174 63.8815 58.9802 63.0258 77.5341 78.8141 98.3441 10.9874 
2028 242.174 63.8815 58.9802 56.0067 71.664 72.5622 91.7448 11.2543 
2029 242.174 63.8815 58.9802 52.0883 67.4768 68.6712 87.6646 11.2175 
2030 242.174 63.8815 58.9802 50.6236 65.2852 66.4603 85.4763 11.0968 
2031 242.174 63.8815 58.9802 49.3212 63.1947 65.1618 84.9313 11.0449 
2032 242.174 63.8815 58.9802 49.0193 62.9677 64.4185 84.8288 10.8723 
2033 242.174 63.8815 58.9802 48.2635 62.5588 63.8268 83.208 10.7443 
2034 242.174 63.8815 58.9802 47.7074 62.1191 63.4397 82.1952 10.6223 
Alternative 2 Alternative  Stock: Rex
Catch Rex
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2021  0 8.44107 9.15256 0.392 0.392 0.392 0.392 5.27356e-15 
2022  0 8.44107 9.15256 1.567 1.567 1.567 1.567 1.20161e-10 
2023  0 8.44107 9.15256 1.567 1.567 1.567 1.567 6.79602e-09 
2024  0 8.44107 9.15256 25.9746 26.0109 26.018 26.0856 0.0375371 
2025  0 8.44107 9.15256 19.724 19.8967 19.9268 20.2355 0.172927 
2026  0 8.44107 9.15256 14.4918 15.2505 15.383 16.714 0.751409 
2027  0 8.44107 9.15256 10.713 12.349 12.5886 15.1473 1.49945 
2028  0 8.44107 9.15256 8.58556 10.6396 10.8639 13.9531 1.75813 
2029  0 8.44107 9.15256 6.70621 9.57674 9.72069 12.9543 1.90451 
2030  0 8.44107 9.15256 5.84912 8.93206 8.9778 12.3051 1.98202 
