Stock Year Catch ABC OFL SSB TotBiom
Rex 2022 1.567 18.8269 24.3869 53.4163 124.722
Rex 2023 1.567 23.7161 30.6 58.3848 127.277
Rex 2024 26.018 26.018 33.4975 60.9515 128.214
Rex 2025 19.9268 19.9268 25.6507 48.0027 104.673
Rex 2026 15.383 15.383 19.8215 38.9154 88.8058
Rex 2027 12.5886 12.5886 16.2373 33.1282 78.8141
Rex 2028 10.8639 10.8639 14.0258 29.4798 72.5622
Rex 2029 9.72069 9.72069 12.5635 27.1839 68.6712
Rex 2030 8.9778 8.9778 11.6142 25.7868 66.4603
Rex 2031 8.53357 8.53357 11.0477 24.9884 65.1618
Rex 2032 8.29622 8.29622 10.7452 24.5678 64.4185
Rex 2033 8.17089 8.17089 10.5858 24.3527 63.8268
Rex 2034 8.1249 8.1249 10.5279 24.2183 63.4397
